MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainTomorrow
8.7,21.7,0,39,17,20,56,35,1025.4,1022.1,14.2,20.4,No
8.9,17.2,9.2,69,31,30,81,50,1008,1005,11.6,15.5,Yes
10.8,20.8,0,33,11,24,67,54,1027.3,1021.1,15,18.8,No
-0.1,10.5,0.2,31,7,11,95,68,1019,1017.2,5,9.7,No
19.6,27,22.4,13,2,4,95,74,1014.8,1011.4,21.1,26,Yes
2.7,15.5,0,20,6,9,100,50,1020.6,1019.1,6,14.4,No
16.3,25.6,0.5,33,20,24,64,49,1024.5,1022.9,22.6,24,No
0.8,18.9,0,37,17,24,64,31,1024.7,1018.8,10,18.1,No
17.4,26.3,0,83,33,44,55,17,1009,1008.2,19.4,24.7,No
13.6,21.1,0,35,15,13,69,44,1023.9,1023,14.7,20.5,No
19.8,36.9,0,35,20,13,45,18,1011.9,1010,25.2,34.4,No
10.9,15.8,1.4,52,22,35,86,65,1026.6,1025.5,12.9,15.1,No
-5.5,13.4,0,41,2,26,74,40,1017.2,1014,2.7,10.7,No
0.7,14,0,33,6,15,99,46,1008.3,1002.6,5.4,11.4,Yes
13.4,23.8,0,15,2,7,78,70,1018.2,1014.4,18.8,22.8,No
10.2,24.2,0,11,4,7,82,49,1027.5,1025.2,14.8,23.4,No
4.7,14,0,31,6,13,68,51,1026.4,1024.2,8.8,13.2,No
19.9,35.4,0,39,17,9,50,29,1015.6,1011.3,24.7,33.6,No
16.1,21.4,0,48,24,24,82,83,1020.6,1017.6,18.9,20.1,No
14.6,23,13.2,48,17,26,87,67,1015,1015.4,16.9,21.9,No
15.6,30.2,3.2,48,20,28,80,39,1006.7,1004.1,21.9,28.5,No
11,29.5,0,31,15,15,46,36,1008.1,1004.8,21.8,28.2,Yes
2.8,12.9,0,44,20,24,72,52,1025.3,1024.6,8.2,12.1,No
19.6,27.9,0,48,13,26,66,57,1023.9,1023.6,23.9,27.8,No
19.4,30.7,0.8,35,7,22,65,39,1012.1,1009.2,22,29.4,Yes
6.6,14.1,6.8,43,9,19,79,68,1023.3,1023.8,11.4,13.4,Yes
6.8,16.9,0,24,9,9,57,47,1034,1030.7,12.7,16,No
18.3,28.1,15.6,33,13,17,78,42,1005.8,1005.6,20.4,26.7,No
8.4,15.4,0.2,80,26,30,61,37,1013.3,1006.6,9.7,13.9,No
23.4,41.5,1.2,57,13,13,36,19,1010,1006,32.2,39,Yes
5.5,16.9,1.2,37,7,20,92,70,1024.7,1024,11.4,14,Yes
17.6,29.9,0,48,24,19,35,21,1016.8,1012.4,21.3,28.9,No
5.4,19.2,0.4,37,6,15,94,65,1008,1005.5,11.4,18.6,Yes
17,37.5,0,41,26,24,35,13,1013.7,1010.1,25.5,35.2,No
12,30.6,0,39,19,13,79,31,1018.8,1013.9,15.7,29.4,No
8.8,16.7,0,22,0,13,99,57,1022.4,1021.8,10.2,16.5,No
5.6,26.8,0,41,24,20,52,29,1019,1016.1,14.8,24.7,No
10.4,13.4,0,17,6,7,76,64,1025.1,1022.3,11.7,13.1,No
10.8,25.2,0.4,48,0,9,80,45,1020.7,1019,15.4,23.9,No
11.6,16.6,1.2,57,24,28,86,68,1015.5,1013.1,12.1,15.8,No
17.5,22.8,2.8,59,43,30,64,59,1019,1018.3,19.3,20.9,No
16.4,27.1,30.4,22,4,6,87,54,1022.5,1018.2,18.9,26.1,Yes
12.4,25.8,0,33,7,11,72,46,1021.5,1017.6,17.1,25.1,No
18.2,35.3,0,30,2,17,89,39,1013.3,1009.9,19.8,33.7,No
12.2,23.2,4.6,28,0,11,91,59,1015.4,1016,15.5,22.3,No
11.6,31.1,0,46,20,31,47,38,1017.2,1014.3,22.5,28,No
3.5,19.2,0.4,22,7,9,99,50,1036.6,1034.6,7.9,17.7,No
5,30.6,0,24,4,7,61,22,1026.2,1019.8,17.7,28.7,No
6.7,19.4,0,33,6,17,91,54,1027.7,1024.9,10.4,18,No
8.4,16,0,37,13,19,78,54,1007.8,1004.8,9.3,15.6,No
1.8,14.3,1.8,19,9,7,78,55,1031.1,1028,6.6,13.5,No
4.8,25.1,0,26,0,7,75,42,1022,1017.9,13.1,24.5,No
5.4,19.2,0.4,24,9,17,83,61,1024.9,1022.9,10.9,18.6,No
18.5,36.1,0,31,19,9,25,14,1014.7,1011.6,28.4,35.4,No
9.1,15.8,0.4,39,13,26,45,47,1018.1,1017.8,13.8,14.8,Yes
10.3,26.8,0.4,15,4,6,82,36,1023.6,1021.1,17.4,26.5,No
19.2,28.2,18.4,37,26,30,83,80,1012.3,1010.2,24.1,27,Yes
13.9,23.7,0,41,15,28,80,80,1018.8,1018.1,19.4,19.7,Yes
16.1,26.9,3.6,31,7,11,88,52,1019.4,1017.5,17.8,24.2,No
8.7,15,2.6,24,9,13,99,77,1022.9,1020.3,10.9,13.5,No
17.4,32,0,57,26,24,58,27,1013.8,1010.2,19.5,29.6,No
15.4,23.5,1,43,15,26,86,63,1013.7,1011,17.9,22.4,Yes
6.8,21.7,0,44,9,20,69,42,1016.6,1012.6,14.6,21.5,Yes
10.2,27,0,39,9,7,82,33,1009.8,1009.2,15,25.9,No
9.8,18,2.4,33,17,22,51,48,1025.2,1024.9,15.4,17.3,No
4.9,24.7,0,30,22,11,58,28,1022.3,1020.3,15.1,24.1,No
15.3,24.9,1.4,31,7,19,92,59,1016.5,1015.8,18.5,22.6,No
10.8,24.8,0,35,20,22,54,39,1020,1015.7,16,22.7,No
9,32.3,0,56,22,30,10,4,1013.6,1009.3,23.8,30.8,No
9.9,24.9,0,24,0,19,71,38,1025.8,1022,17.4,24.5,No
25.4,33.3,0,31,7,13,76,66,1009.9,1006.7,29.7,31.1,No
11,25.1,0,26,6,15,97,41,1023.8,1020.1,15,24.6,No
18.3,31.1,0,33,11,19,58,45,1017.7,1013.5,23.5,29.4,No
